2025/12/19 16:10:20 INFO  : ds3/test/00c0a5b0b5780839679ddcede9da56df.npy: Copied (new)
2025/12/19 16:10:21 INFO  : ds3/test/02ec916b7aa5721bf52521f5c3df82d0.npy: Copied (new)
2025/12/19 16:10:21 INFO  : ds3/test/016b2ba917244113cdc4dd790c5ff3c7.npy: Copied (new)
2025/12/19 16:10:21 INFO  : ds3/test/05b984c0007ad527370ebe52ae17a3be.npy: Copied (new)
2025/12/19 16:10:21 INFO  : ds3/test/00d82591a1ef87f94bc28b47f9a6c9a2.npy: Copied (new)
2025/12/19 16:10:21 INFO  : ds3/test/0345fad9f4f490434ff861150f56b84c.npy: Copied (new)
2025/12/19 16:10:21 INFO  : ds3/test/03afa3ea85cef7c59afa314b2f3714e2.npy: Copied (new)
2025/12/19 16:10:21 INFO  : ds3/test/02dd6983048af267517bc0a57d53e1b0.npy: Copied (new)
2025/12/19 16:10:21 INFO  : ds3/test/00bf3e8b5c44db7f9765a2c896308ca8.npy: Copied (new)
2025/12/19 16:10:22 INFO  : ds3/test/054f1e8ba7135ae2cd04f1d87c2c8a27.npy: Copied (new)
2025/12/19 16:10:22 INFO  : ds3/test/058daf602682e2f57a01489ca38ba380.npy: Copied (new)
2025/12/19 16:10:23 INFO  : ds3/test/0540bac503edefaf64878ba34693b166.npy: Copied (new)
2025/12/19 16:10:23 INFO  : ds3/test/06c34253a314e79503d1995e3e36990c.npy: Copied (new)
2025/12/19 16:10:23 INFO  : ds3/test/0302c07e3e0e98b81ac599d2adcdeb0e.npy: Copied (new)
2025/12/19 16:10:23 INFO  : ds3/test/06165d465462bfa2c748990b6401795d.npy: Copied (new)
2025/12/19 16:10:23 INFO  : ds3/test/08fd8935a1adbe953e7f6b404ea4d98c.npy: Copied (new)
2025/12/19 16:10:24 INFO  : ds3/test/0a35bf4567e057fef86a9836ceb4be15.npy: Copied (new)
2025/12/19 16:10:24 INFO  : ds3/test/080c47ce0f397a34776c5ebf1c956288.npy: Copied (new)
2025/12/19 16:10:24 INFO  : ds3/test/0993f893aab66681a62a600efb780678.npy: Copied (new)
2025/12/19 16:10:24 INFO  : ds3/test/09906a09b967d4512648c39922623083.npy: Copied (new)
2025/12/19 16:10:24 INFO  : ds3/test/0aa6e334752d15daf7bacdd17e1c3fa9.npy: Copied (new)
2025/12/19 16:10:24 INFO  : ds3/test/09b50618567eef03049f8d0ad3614f2a.npy: Copied (new)
2025/12/19 16:10:25 INFO  : ds3/test/0c76c9eba6c8a41dccc95a3781a52095.npy: Copied (new)
2025/12/19 16:10:25 INFO  : ds3/test/0c0a21655b8c24a110beee6a5630b1f9.npy: Copied (new)
2025/12/19 16:10:25 INFO  : ds3/test/0dd42dc2037409657df6f8ce4daa5f86.npy: Copied (new)
2025/12/19 16:10:26 INFO  : ds3/test/0c9071ddf409486397003ea80c44b409.npy: Copied (new)
2025/12/19 16:10:26 INFO  : ds3/test/157fc5c259f0e7702d3c81821a61f88c.npy: Copied (new)
2025/12/19 16:10:26 INFO  : ds3/test/10fb93c12c2c8e8e44f329770dbac97b.npy: Copied (new)
2025/12/19 16:10:26 INFO  : ds3/test/12e525d9f790257c808752a7c12874fe.npy: Copied (new)
2025/12/19 16:10:26 INFO  : ds3/test/13751c9c8d5e6fd2adfc91cf6cddcf29.npy: Copied (new)
